Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
good,>=200 DM,12,paid back previous credits at this bank,items of furniture,1240,greater than 1000 DM,greater than 7 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,no assets,38,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.433573881
good,>=200 DM,24,no previous credits or paid back,new car,9277,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:divorced/living apart,none,greater than 7 years,ownership of house or land,48,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.434207036
good,>=200 DM,27,no problems with current credits at this bank,retraining,5117,no savings,between 4 and 7 years,between 20 and 25,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,26,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.43894211
good,>=200 DM,24,no previous credits or paid back,other,1525,between 500 and 1000 DM,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,savings contract with a building society/Life insurance,34,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.439970203
bad,no running account,24,no previous credits or paid back,items of furniture,1282,less than 100 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,32,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,-0.443310813
good,no balance,9,no previous credits or paid back,items of furniture,1082,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,37,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,-0.443910841
good,no running account,30,hesistant payment of previous credits,used car,4583,no savings,between 1 and 4 years,between 25 and 35,male:divorced/living apart,guarantor,between 1 and 4 years,no assets,32,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.446994121
good,no balance,9,no previous credits or paid back,retraining,1391,no savings,between 1 and 4 years,between 25 and 35,male:married/widowed,none,less than 1 year,no assets,27,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.447369852
good,>=200 DM,24,paid back previous credits at this bank,items of furniture,1516,between 500 and 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,43,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,-0.447658278
bad,no running account,24,no previous credits or paid back,other,1371,greater than 1000 DM,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,25,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.449030836
good,>=200 DM,24,no previous credits or paid back,new car,7814,no savings,between 4 and 7 years,between 20 and 25,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,38,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.45486358
good,<= 200 DM,9,no previous credits or paid back,items of furniture,1126,less than 100 DM,greater than 7 years,between 25 and 35,male:divorced/living apart,none,greater than 7 years,no assets,49,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.455360451
bad,no running account,20,paid back previous credits at this bank,other,2235,no savings,between 1 and 4 years,less than 20,male:married/widowed,guarantor,between 1 and 4 years,car/other,33,at other banks,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,no,-0.468016285
good,>=200 DM,10,no previous credits or paid back,other,1364,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,64,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.468820187
good,>=200 DM,12,paid back previous credits at this bank,used car,1402,between 100 and 500 DM,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,37,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.478755861
good,>=200 DM,10,no previous credits or paid back,items of furniture,1924,no savings,between 1 and 4 years,greater than 35,male:single,none,greater than 7 years,car/other,38,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,no,-0.480003965
good,no running account,15,no previous credits or paid back,items of furniture,1053,no savings,less than 1 year,less than 20,male:married/widowed,none,between 1 and 4 years,no assets,27,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,no,-0.480248173
good,no balance,7,no previous credits or paid back,items of furniture,2415,no savings,between 1 and 4 years,between 20 and 25,male:single,guarantor,between 1 and 4 years,no assets,34,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.483705868
bad,no balance,48,problematic running accounts,retraining,6416,no savings,greater than 7 years,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,ownership of house or land,59,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.486630406
good,>=200 DM,48,no problems with current credits at this bank,items of furniture,7238,greater than 1000 DM,greater than 7 years,between 20 and 25,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,32,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,-0.491339658
bad,no balance,24,paid back previous credits at this bank,retraining,1935,no savings,greater than 7 years,less than 20,male:divorced/living apart,none,greater than 7 years,no assets,31,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,-0.501678641
good,no balance,24,no previous credits or paid back,used car,4351,greater than 1000 DM,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,car/other,48,no further running credits,rented,one,unskilled with permanant residence,3 and more,yes,yes,-0.512864022
good,<= 200 DM,12,problematic running accounts,items of furniture,409,between 500 and 1000 DM,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 4 and 7 years,no assets,42,no further running credits,free apartment,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.516033394
bad,no running account,12,no previous credits or paid back,items of furniture,674,less than 100 DM,between 4 and 7 years,less than 20,male:married/widowed,none,less than 1 year,car/other,20,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.516648948
bad,no running account,18,paid back previous credits at this bank,household appliances,1190,no savings,unemployed,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,55,no further running credits,owner,4 or 5,unemployed/unskilled with no permaant residence,0 to 2,no,yes,-0.518030783
good,>=200 DM,60,paid back previous credits at this bank,other,13756,greater than 1000 DM,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,63,at other banks,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,-0.518545815
good,no balance,9,no previous credits or paid back,items of furniture,458,no savings,between 1 and 4 years,less than 20,male:single,none,between 4 and 7 years,no assets,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.519305544
good,>=200 DM,6,no previous credits or paid back,household appliances,660,between 100 and 500 DM,between 4 and 7 years,between 25 and 35,male:married/widowed,none,greater than 7 years,no assets,23,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,-0.522291144
bad,<= 200 DM,36,no previous credits or paid back,items of furniture,4210,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,-0.523582406
good,>=200 DM,48,paid back previous credits at this bank,new car,2751,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,38,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,yes,yes,-0.527839121
